iter	Logloss
0	0.6573965547
1	0.6238110892
2	0.5921186688
3	0.561573226
4	0.5335751862
5	0.5071415961
6	0.4827369124
7	0.4596243201
8	0.4379574929
9	0.4177307578
10	0.3987089344
11	0.3811379867
12	0.3646243046
13	0.3491242674
14	0.3346023362
15	0.3210741024
16	0.308357777
17	0.2963260985
18	0.2848423063
19	0.2744076321
20	0.2646309043
21	0.2554360842
22	0.246542606
23	0.2381900755
24	0.2303340077
25	0.2231459879
26	0.2165117071
27	0.210033961
28	0.2038684138
29	0.1979053481
30	0.1926519784
31	0.1878078064
32	0.1829690939
33	0.1785923096
34	0.1745847141
35	0.1705651115
36	0.1669777615
37	0.1634199468
38	0.1601840608
39	0.1569330197
40	0.1538719373
41	0.1511957306
42	0.1484566812
43	0.1459188732
44	0.1435281799
45	0.1414137708
46	0.1392923286
47	0.1373554889
48	0.1355246281
49	0.1337355637
50	0.1320620992
51	0.1304584495
52	0.1289398364
53	0.1274938732
54	0.1261239679
55	0.1248973794
56	0.1236139073
57	0.1224954029
58	0.1214782223
59	0.1203759178
60	0.119395411
61	0.1184566976
62	0.1176143823
63	0.11682391
64	0.1159750326
65	0.1151708732
66	0.1144757399
67	0.1138440765
68	0.1131698771
69	0.1125528134
70	0.1118579755
71	0.1112912142
72	0.1106897965
73	0.1101586329
74	0.1096805324
75	0.1091840053
76	0.1087918967
77	0.1084148177
78	0.1080454963
79	0.1076215933
80	0.1072288316
81	0.1068752206
82	0.1065159648
83	0.1061615416
84	0.1057941713
85	0.1054940145
86	0.1052044313
87	0.1049293096
88	0.1046604982
89	0.1044039119
90	0.1041392796
91	0.1038727445
92	0.1036763353
93	0.1034353871
94	0.1032317762
95	0.1030027131
96	0.102792188
97	0.1025809112
98	0.1023592003
99	0.1021697483
100	0.1020096911
101	0.1018368143
102	0.1016738576
103	0.101550823
104	0.1014224498
105	0.1012773769
106	0.1011223861
107	0.1009798733
108	0.1008468861
109	0.1007068616
110	0.1006028166
111	0.1004713182
112	0.1003500682
113	0.1002392488
114	0.1001438742
115	0.1000286
116	0.09994536724
117	0.09982292838
118	0.09973339631
119	0.09965243287
120	0.0995546881
121	0.09946883172
122	0.099400541
123	0.09931434202
124	0.09924266545
125	0.09914729139
126	0.09907044434
127	0.09899076492
128	0.09890886386
129	0.09881756405
130	0.09873177598
131	0.09866486055
132	0.098597777
133	0.09850618284
134	0.09842956051
135	0.09834498373
136	0.09830849229
137	0.09827113204
138	0.09822872914
139	0.0981719934
140	0.09812664816
141	0.09808058713
142	0.0980260804
143	0.09797062098
144	0.09791491019
145	0.09786848121
146	0.09782287717
147	0.09778830026
148	0.09772836089
149	0.09768615685
150	0.09763953921
151	0.09760794233
152	0.09757994216
153	0.09755527314
154	0.09750306194
155	0.09746418406
156	0.09743788529
157	0.09738886331
158	0.09734463422
159	0.09731060612
160	0.0972752437
161	0.09724950545
162	0.09720692462
163	0.09717720275
164	0.09714169615
165	0.09710807328
166	0.0970899274
167	0.09704764699
168	0.0970044782
169	0.09696886327
170	0.09693002985
171	0.09690871526
172	0.09688205453
173	0.09686173229
174	0.09682765189
175	0.09681104537
176	0.09678049866
177	0.09675146593
178	0.09671908038
179	0.09669086034
180	0.09664750132
181	0.09662229816
182	0.09660464591
183	0.0965746667
184	0.09653511145
185	0.09649945669
186	0.09645359279
187	0.09642153614
188	0.0963926923
189	0.09636309887
190	0.09634756998
191	0.09632069037
192	0.09629795923
193	0.09625985959
194	0.09624515422
195	0.0962198009
196	0.0962071581
197	0.09617771379
198	0.09615247043
199	0.09613380895
200	0.09610868687
201	0.09609042475
202	0.09606540109
203	0.09604628564
204	0.09602577026
205	0.09600349811
206	0.09599282268
207	0.09595891514
208	0.09593911684
209	0.09591488201
210	0.09587980552
211	0.09585747849
212	0.09584408373
213	0.09583103816
214	0.09579726654
215	0.09578734449
216	0.09577239134
217	0.0957469514
218	0.09573144978
219	0.09569358552
220	0.09568666416
221	0.09565823838
222	0.09564195905
223	0.09563226072
224	0.09560188638
225	0.09558649173
226	0.09555996585
227	0.09554359684
228	0.09553292944
229	0.09551859233
230	0.09549772761
231	0.09547644437
232	0.09546574949
233	0.09542368883
234	0.09541150142
235	0.09538902415
