iter	Passed	Remaining
399	43168	64753
400	43266	64630
401	43388	64543
402	43478	64408
403	43601	64322
404	43700	64202
405	43819	64110
406	43921	63993
407	44030	63887
408	44127	63763
409	44237	63658
410	44338	63541
411	44453	63442
412	44544	63311
413	44657	63210
414	44758	63093
415	44883	63008
416	44986	62894
417	45096	62789
418	45195	62669
419	45313	62576
420	45429	62479
421	45545	62382
422	45661	62285
423	45774	62184
424	45871	62060
425	45992	61970
426	46092	61852
427	46207	61753
428	46309	61637
429	46417	61529
430	46511	61404
431	46627	61306
432	46728	61189
433	46832	61076
434	46922	60945
435	47042	60853
436	47144	60737
437	47255	60633
438	47346	60503
439	47462	60406
440	47559	60284
441	47666	60175
442	47762	60054
443	47877	59954
444	47968	59826
445	48074	59716
446	48169	59591
447	48274	59481
448	48365	59353
449	48480	59254
450	48624	59189
451	48734	59084
452	48825	58957
453	48938	58855
454	49057	58760
455	49155	58641
456	49241	58508
457	49393	58452
458	49522	58369
459	49622	58252
460	49725	58138
461	49829	58026
462	49939	57920
463	50045	57810
464	50142	57691
465	50254	57587
466	50352	57468
467	50466	57368
468	50566	57250
469	50688	57159
470	50785	57039
471	50891	56929
472	50993	56814
473	51106	56713
474	51208	56599
475	51318	56493
476	51415	56373
477	51528	56271
478	51628	56154
479	51744	56057
480	51835	55930
481	51950	55831
482	52059	55724
483	52169	55618
484	52275	55509
485	52393	55411
486	52492	55294
487	52601	55188
488	52689	55060
489	52818	54974
490	52924	54864
491	53028	54752
492	53137	54646
493	53244	54538
494	53339	54417
495	53452	54315
496	53558	54204
497	53670	54102
498	53768	53983
499	53885	53885
500	53992	53777
501	54099	53668
502	54204	53557
503	54318	53456
504	54421	53344
505	54523	53230
506	54623	53114
507	54743	53019
508	54851	52911
509	54960	52805
510	55062	52692
511	55175	52589
512	55275	52474
513	55396	52378
514	55490	52257
515	55597	52150
516	55695	52032
517	55825	51945
518	55938	51842
519	56043	51732
520	56146	51620
521	56260	51518
522	56369	51411
523	56469	51297
524	56560	51173
525	56675	51072
526	56759	50943
527	56870	50839
528	56965	50719
529	57085	50623
530	57186	50509
531	57294	50401
532	57384	50278
533	57505	50182
534	57603	50066
535	57718	49965
536	57824	49856
537	57933	49749
538	58021	49624
539	58136	49523
540	58230	49404
541	58338	49297
542	58436	49180
543	58557	49085
544	58648	48963
545	58763	48861
546	58879	48761
547	58989	48655
548	59092	48543
549	59204	48440
550	59292	48316
551	59417	48222
552	59523	48113
553	59641	48014
554	59744	47903
555	59855	47798
556	59954	47683
557	60069	47581
558	60169	47468
559	60323	47397
560	60441	47297
561	60546	47187
562	60632	47063
563	60754	46966
564	60881	46873
565	60987	46764
566	61077	46642
567	61197	46544
568	61320	46448
569	61427	46340
570	61536	46232
571	61652	46131
572	61749	46015
573	61867	45915
574	61989	45818
575	62101	45713
576	62203	45601
577	62324	45503
578	62425	45390
579	62540	45287
580	62643	45176
581	62762	45076
582	62860	44962
583	62970	44855
584	63061	44736
585	63185	44639
586	63286	44527
587	63397	44421
588	63509	44316
589	63618	44209
590	63707	44088
591	63833	43993
592	63949	43890
593	64048	43777
594	64141	43659
595	64246	43549
596	64346	43436
597	64461	43333
598	64557	43218
599	64683	43122
600	64785	43010
601	64896	42904
602	64995	42791
603	65101	42682
604	65188	42561
605	65311	42463
606	65424	42359
607	65538	42254
608	65644	42146
609	65761	42044
610	65871	41938
611	65969	41823
612	66057	41703
613	66177	41603
614	66278	41491
615	66390	41386
616	66480	41267
617	66599	41166
618	66696	41052
619	66801	40943
620	66884	40819
621	66995	40714
622	67082	40593
623	67194	40488
624	67287	40372
625	67397	40266
626	67500	40155
627	67611	40050
628	67710	39937
629	67824	39833
630	67924	39721
631	68035	39615
632	68125	39497
633	68252	39401
634	68355	39290
635	68470	39187
636	68566	39073
637	68676	38967
638	68766	38849
639	68881	38746
640	68991	38639
641	69094	38529
642	69190	38415
643	69313	38316
644	69417	38206
645	69517	38094
646	69609	37978
647	69722	37874
648	69828	37765
649	69931	37655
650	70042	37549
651	70154	37444
652	70255	37333
653	70367	37228
654	70458	37111
655	70576	37009
656	70680	36900
657	70816	36807
658	70931	36703
659	71051	36602
660	71195	36513
661	71302	36405
662	71407	36295
663	71621	36242
664	71798	36169
665	71926	36071
666	72039	35965
667	72155	35861
668	72259	35751
669	72354	35637
670	72473	35534
671	72585	35428
672	72692	35319
673	72782	35203
674	72903	35101
675	72998	34987
676	73106	34879
677	73207	34768
678	73433	34715
679	73597	34633
680	73754	34548
681	73892	34454
682	74017	34353
683	74142	34252
684	74258	34147
685	74387	34048
686	74550	33965
687	74709	33879
688	74956	33833
689	75211	33790
690	75365	33701
691	75494	33601
692	75608	33494
693	75729	33390
694	75886	33302
695	76045	33215
696	76202	33126
697	76357	33037
698	76480	32933
699	76601	32829
700	76716	32722
701	76874	32633
702	77051	32552
703	77206	32461
704	77343	32363
705	77493	32270
706	77623	32169
707	77746	32064
708	77886	31967
709	78017	31866
710	78140	31761
711	78258	31655
712	78379	31549
713	78522	31452
714	78655	31352
715	78770	31244
716	78896	31140
717	79014	31033
718	79195	30951
719	79388	30873
720	79562	30787
721	79774	30716
722	79954	30632
723	80119	30542
724	80287	30453
725	80447	30361
726	80772	30331
727	80919	30233
728	81059	30133
729	81677	30209
730	82138	30226
731	82502	30205
732	83304	30344
733	84053	30460
734	84835	30586
735	85430	30643
736	85880	30646
737	86128	30576
738	86410	30518
739	86791	30494
740	87354	30532
741	87895	30562
742	88674	30671
743	89104	30659
744	89541	30648
745	89937	30622
746	90384	30612
747	90913	30628
748	91273	30586
749	91779	30593
750	92417	30641
751	92911	30640
752	93232	30582
753	93646	30553
754	94013	30507
755	94412	30471
756	94676	30391
757	94984	30324
758	95263	30248
759	95616	30194
760	95884	30113
761	96204	30048
762	96463	29963
763	96842	29914
764	97134	29838
765	97418	29759
766	97703	29680
767	97987	29600
768	98211	29501
769	98474	29414
770	98691	29312
771	98909	29211
772	99082	29096
773	99248	28979
774	99446	28871
775	99634	28760
776	99806	28644
777	99960	28523
778	100151	28412
779	100388	28314
780	100556	28196
781	100712	28075
782	100968	27982
783	101111	27857
784	101277	27738
785	101427	27615
786	101604	27499
787	101758	27376
788	101931	27259
789	102112	27143
790	102286	27026
791	102450	26906
792	102611	26785
793	102780	26665
794	102945	26545
795	103100	26422
796	103257	26300
797	103429	26181
798	103570	26054
799	103734	25933
800	103910	25815
801	104081	25695
802	104234	25571
803	104404	25451
804	104582	25333
805	104763	25216
806	104945	25098
807	105121	24979
808	105284	24856
809	105459	24737
810	105643	24619
811	105803	24496
812	105966	24373
813	106120	24248
814	106281	24125
815	106438	24000
816	106594	23876
817	106750	23751
818	106928	23631
819	107172	23525
820	107375	23410
821	107584	23296
822	107759	23175
823	107883	23043
824	107993	22907
825	108143	22780
826	108292	22653
827	108432	22524
828	108562	22393
829	108705	22265
830	108845	22135
831	108978	22005
832	109113	21875
833	109262	21747
834	109421	21622
835	109559	21492
836	109698	21363
837	109804	21227
838	109905	21090
839	110003	20953
840	110110	20817
841	110231	20684
842	110341	20549
843	110452	20415
844	110550	20278
845	110693	20149
846	110819	20018
847	110951	19887
848	111051	19751
849	111150	19614
850	111248	19478
851	111344	19341
852	111497	19214
853	111588	19077
854	111678	18939
855	111772	18802
856	111871	18666
857	111980	18532
858	112075	18396
859	112166	18259
860	112260	18123
861	112351	17986
862	112462	17853
863	112559	17717
864	112644	17580
865	112732	17443
866	112831	17308
867	112925	17172
868	113032	17039
869	113132	16904
870	113234	16770
871	113334	16636
872	113433	16501
873	113536	16367
874	113635	16233
875	113730	16098
876	113831	15964
877	113937	15831
878	114037	15698
879	114137	15564
880	114234	15430
881	114333	15296
882	114430	15162
883	114535	15029
884	114646	14897
885	114742	14763
886	114845	14630
887	114958	14499
888	115086	14369
889	115174	14235
890	115276	14102
891	115369	13968
892	115475	13836
893	115575	13703
894	115676	13570
895	115770	13437
896	115869	13304
897	115966	13172
898	116064	13039
899	116161	12906
900	116264	12774
901	116363	12642
902	116466	12510
903	116566	12378
904	116676	12247
905	116776	12115
906	116883	11984
907	117005	11855
908	117129	11725
909	117244	11595
910	117339	11463
911	117440	11331
912	117547	11201
913	117648	11069
914	117748	10938
915	117850	10807
916	117951	10676
917	118068	10546
918	118186	10416
919	118297	10286
920	118421	10157
921	118543	10028
922	118641	9897
923	118746	9767
924	118848	9636
925	118948	9505
926	119048	9374
927	119153	9244
928	119250	9113
929	119361	8984
930	119462	8853
931	119566	8723
932	119671	8593
933	119779	8464
934	119880	8333
935	119992	8204
936	120090	8074
937	120197	7944
938	120293	7814
939	120411	7685
940	120518	7556
941	120618	7426
942	120722	7297
943	120826	7167
944	120948	7039
945	121059	6910
946	121178	6781
947	121358	6656
948	121476	6528
949	121585	6399
950	121701	6270
951	121823	6142
952	121958	6014
953	122076	5886
954	122178	5757
955	122291	5628
956	122405	5499
957	122526	5371
958	122652	5243
959	122758	5114
960	122846	4985
961	122960	4857
962	123062	4728
963	123178	4600
964	123286	4471
965	123379	4342
966	123481	4213
967	123585	4085
968	123691	3957
969	123806	3829
970	123907	3700
971	124007	3572
972	124111	3443
973	124215	3315
974	124318	3187
975	124430	3059
976	124529	2931
977	124641	2803
978	124736	2675
979	124834	2547
980	124931	2419
981	125023	2291
982	125129	2163
983	125225	2036
984	125319	1908
985	125415	1780
986	125521	1653
987	125636	1525
988	125731	1398
989	125827	1270
990	125923	1143
991	126008	1016
992	126104	888
993	126267	762
994	126476	635
995	126591	508
996	126707	381
997	126842	254
998	126951	127
999	127068	0
